Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),8527,8223,16750,Tagaung,MMR010012
 Associate Scrutiny Card (blue),7,5,12,Tagaung,MMR010012
 Naturalised Scrutiny Card (green),84,21,105,Tagaung,MMR010012
 National Registration Card (3-fold),260,292,552,Tagaung,MMR010012
 Religious card,84,6,90,Tagaung,MMR010012
 Temporary Registration Card (white),28,16,44,Tagaung,MMR010012
 Foreign Passport,-,2,2,Tagaung,MMR010012
 None,4758,5826,10584,Tagaung,MMR010012
 Child under 10 years,3861,3870,7731,Tagaung,MMR010012
 Total,17609,18261,35870,Tagaung,MMR010012
