Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),68032,75612,143644,Madaya,MMR010009
 Associate Scrutiny Card (blue),27,38,65,Madaya,MMR010009
 Naturalised Scrutiny Card (green),245,91,336,Madaya,MMR010009
 National Registration Card (3-fold),544,632,1176,Madaya,MMR010009
 Religious card,996,69,1065,Madaya,MMR010009
 Temporary Registration Card (white),103,121,224,Madaya,MMR010009
 Foreign Registration Card (FRC),3,6,9,Madaya,MMR010009
 Foreign Passport,7,12,19,Madaya,MMR010009
 None,28923,34692,63615,Madaya,MMR010009
 Child under 10 years,23999,23849,47848,Madaya,MMR010009
 Total,122879,135122,258001,Madaya,MMR010009
