Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),13445,15691,29136,HaKa,MMR004002
 Associate Scrutiny Card (blue),6,9,15,HaKa,MMR004002
 Naturalised Scrutiny Card (green),7,5,12,HaKa,MMR004002
 National Registration Card (3-fold),18,46,64,HaKa,MMR004002
 Religious card,26,7,33,HaKa,MMR004002
 Temporary Registration Card (white),64,44,108,HaKa,MMR004002
 Foreign Registration Card (FRC),1,1,2,HaKa,MMR004002
 Foreign Passport,15,9,24,HaKa,MMR004002
 None,3763,3897,7660,HaKa,MMR004002
 Child under 10 years,5677,5621,11298,HaKa,MMR004002
 Total,23022,25330,48352,HaKa,MMR004002
