Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),24725,26700,51425,Ngathaingchaung(ST),MMR017006
 Associate Scrutiny Card (blue),24,38,62,Ngathaingchaung(ST),MMR017006
 Naturalised Scrutiny Card (green),58,37,95,Ngathaingchaung(ST),MMR017006
 National Registration Card (3-fold),266,441,707,Ngathaingchaung(ST),MMR017006
 Religious card,266,52,318,Ngathaingchaung(ST),MMR017006
 Temporary Registration Card (white),95,138,233,Ngathaingchaung(ST),MMR017006
 Foreign Registration Card (FRC),2,2,4,Ngathaingchaung(ST),MMR017006
 Foreign Passport,4,7,11,Ngathaingchaung(ST),MMR017006
 None,9077,11114,20191,Ngathaingchaung(ST),MMR017006
 Child under 10 years,8063,7921,15984,Ngathaingchaung(ST),MMR017006
 Total,42580,46450,89030,Ngathaingchaung(ST),MMR017006
