Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2134,1928,4062,Mine Pauk(ST),MMR016003
 Associate Scrutiny Card (blue),15,13,28,Mine Pauk(ST),MMR016003
 Naturalised Scrutiny Card (green),10,10,20,Mine Pauk(ST),MMR016003
 National Registration Card (3-fold),4,4,8,Mine Pauk(ST),MMR016003
 Religious card,6,3,9,Mine Pauk(ST),MMR016003
 Temporary Registration Card (white),49,44,93,Mine Pauk(ST),MMR016003
 Foreign Registration Card (FRC),92,76,168,Mine Pauk(ST),MMR016003
 Foreign Passport,5,8,13,Mine Pauk(ST),MMR016003
 None,19582,18792,38374,Mine Pauk(ST),MMR016003
 Child under 10 years,6198,6081,12279,Mine Pauk(ST),MMR016003
 Total,28095,26959,55054,Mine Pauk(ST),MMR016003
