Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),13337,14930,28267,Thantlang,MMR004003
 Associate Scrutiny Card (blue),3,3,6,Thantlang,MMR004003
 Naturalised Scrutiny Card (green),2,4,6,Thantlang,MMR004003
 National Registration Card (3-fold),78,173,251,Thantlang,MMR004003
 Religious card,8,3,11,Thantlang,MMR004003
 Temporary Registration Card (white),14,16,30,Thantlang,MMR004003
 Foreign Registration Card (FRC),3,3,6,Thantlang,MMR004003
 Foreign Passport,16,7,23,Thantlang,MMR004003
 None,3841,4034,7875,Thantlang,MMR004003
 Child under 10 years,7077,6822,13899,Thantlang,MMR004003
 Total,24379,25995,50374,Thantlang,MMR004003
