Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),21575,24608,46183,Tedim,MMR004004
 Associate Scrutiny Card (blue),6,9,15,Tedim,MMR004004
 Naturalised Scrutiny Card (green),11,9,20,Tedim,MMR004004
 National Registration Card (3-fold),91,185,276,Tedim,MMR004004
 Religious card,13,5,18,Tedim,MMR004004
 Temporary Registration Card (white),9,16,25,Tedim,MMR004004
 Foreign Passport,18,11,29,Tedim,MMR004004
 None,8075,8796,16871,Tedim,MMR004004
 Child under 10 years,12129,12057,24186,Tedim,MMR004004
 Total,41927,45696,87623,Tedim,MMR004004
