Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),30712,35014,65726,Kyangin,MMR017012
 Associate Scrutiny Card (blue),10,12,22,Kyangin,MMR017012
 Naturalised Scrutiny Card (green),35,23,58,Kyangin,MMR017012
 National Registration Card (3-fold),166,226,392,Kyangin,MMR017012
 Religious card,330,46,376,Kyangin,MMR017012
 Temporary Registration Card (white),60,65,125,Kyangin,MMR017012
 Foreign Registration Card (FRC),3,1,4,Kyangin,MMR017012
 Foreign Passport,2,2,4,Kyangin,MMR017012
 None,7345,8395,15740,Kyangin,MMR017012
 Child under 10 years,6960,6676,13636,Kyangin,MMR017012
 Total,45623,50460,96083,Kyangin,MMR017012
