Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),21304,23174,44478,Dawbon,MMR013014
 Associate Scrutiny Card (blue),23,43,66,Dawbon,MMR013014
 Naturalised Scrutiny Card (green),950,980,1930,Dawbon,MMR013014
 National Registration Card (3-fold),1370,1627,2997,Dawbon,MMR013014
 Religious card,373,14,387,Dawbon,MMR013014
 Temporary Registration Card (white),458,642,1100,Dawbon,MMR013014
 Foreign Registration Card (FRC),21,25,46,Dawbon,MMR013014
 Foreign Passport,5,10,15,Dawbon,MMR013014
 None,6666,6565,13231,Dawbon,MMR013014
 Child under 10 years,5575,5500,11075,Dawbon,MMR013014
 Total,36745,38580,75325,Dawbon,MMR013014
