Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),89548,102466,192014,Shwepyitha,MMR013007
 Associate Scrutiny Card (blue),97,92,189,Shwepyitha,MMR013007
 Naturalised Scrutiny Card (green),1165,518,1683,Shwepyitha,MMR013007
 National Registration Card (3-fold),6675,8901,15576,Shwepyitha,MMR013007
 Religious card,1164,294,1458,Shwepyitha,MMR013007
 Temporary Registration Card (white),2025,2574,4599,Shwepyitha,MMR013007
 Foreign Registration Card (FRC),114,88,202,Shwepyitha,MMR013007
 Foreign Passport,50,33,83,Shwepyitha,MMR013007
 None,35915,37216,73131,Shwepyitha,MMR013007
 Child under 10 years,27511,27080,54591,Shwepyitha,MMR013007
 Total,164264,179262,343526,Shwepyitha,MMR013007
