Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),84250,83180,167430,Mawlamyinegyun,MMR017018
 Associate Scrutiny Card (blue),48,40,88,Mawlamyinegyun,MMR017018
 Naturalised Scrutiny Card (green),146,100,246,Mawlamyinegyun,MMR017018
 National Registration Card (3-fold),177,229,406,Mawlamyinegyun,MMR017018
 Religious card,976,80,1056,Mawlamyinegyun,MMR017018
 Temporary Registration Card (white),178,150,328,Mawlamyinegyun,MMR017018
 Foreign Registration Card (FRC),7,4,11,Mawlamyinegyun,MMR017018
 Foreign Passport,25,29,54,Mawlamyinegyun,MMR017018
 None,35086,42463,77549,Mawlamyinegyun,MMR017018
 Child under 10 years,32234,31938,64172,Mawlamyinegyun,MMR017018
 Total,153127,158213,311340,Mawlamyinegyun,MMR017018
