Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),11466,9686,21152,Kunlon,MMR015020
 Associate Scrutiny Card (blue),48,12,60,Kunlon,MMR015020
 Naturalised Scrutiny Card (green),175,61,236,Kunlon,MMR015020
 National Registration Card (3-fold),4208,3563,7771,Kunlon,MMR015020
 Religious card,67,30,97,Kunlon,MMR015020
 Temporary Registration Card (white),283,258,541,Kunlon,MMR015020
 Foreign Registration Card (FRC),22,4,26,Kunlon,MMR015020
 Foreign Passport,11,5,16,Kunlon,MMR015020
 None,7014,6988,14002,Kunlon,MMR015020
 Child under 10 years,7606,7267,14873,Kunlon,MMR015020
 Total,30900,27874,58774,Kunlon,MMR015020
