Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),82796,82511,165307,Maubin,MMR017019
 Associate Scrutiny Card (blue),91,105,196,Maubin,MMR017019
 Naturalised Scrutiny Card (green),201,148,349,Maubin,MMR017019
 National Registration Card (3-fold),530,791,1321,Maubin,MMR017019
 Religious card,1077,213,1290,Maubin,MMR017019
 Temporary Registration Card (white),121,114,235,Maubin,MMR017019
 Foreign Registration Card (FRC),15,39,54,Maubin,MMR017019
 Foreign Passport,15,20,35,Maubin,MMR017019
 None,36819,46608,83427,Maubin,MMR017019
 Child under 10 years,31275,30604,61879,Maubin,MMR017019
 Total,152940,161153,314093,Maubin,MMR017019
