Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),68669,77258,145927,Thakayta,MMR013013
 Associate Scrutiny Card (blue),91,104,195,Thakayta,MMR013013
 Naturalised Scrutiny Card (green),1088,757,1845,Thakayta,MMR013013
 National Registration Card (3-fold),3166,4559,7725,Thakayta,MMR013013
 Religious card,1592,85,1677,Thakayta,MMR013013
 Temporary Registration Card (white),1430,1949,3379,Thakayta,MMR013013
 Foreign Registration Card (FRC),31,56,87,Thakayta,MMR013013
 Foreign Passport,97,43,140,Thakayta,MMR013013
 None,17219,15436,32655,Thakayta,MMR013013
 Child under 10 years,13907,13019,26926,Thakayta,MMR013013
 Total,107290,113266,220556,Thakayta,MMR013013
