Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5163,4441,9604,Minekoke(ST),MMR016006
 Associate Scrutiny Card (blue),1,1,2,Minekoke(ST),MMR016006
 Naturalised Scrutiny Card (green),4,1,5,Minekoke(ST),MMR016006
 National Registration Card (3-fold),9,8,17,Minekoke(ST),MMR016006
 Religious card,7,-,7,Minekoke(ST),MMR016006
 Temporary Registration Card (white),5,7,12,Minekoke(ST),MMR016006
 Foreign Registration Card (FRC),9,-,9,Minekoke(ST),MMR016006
 Foreign Passport,2,-,2,Minekoke(ST),MMR016006
 None,1558,1369,2927,Minekoke(ST),MMR016006
 Child under 10 years,2785,2726,5511,Minekoke(ST),MMR016006
 Total,9543,8553,18096,Minekoke(ST),MMR016006
