Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),18547,20285,38832,Panglong(ST),MMR014011
 Associate Scrutiny Card (blue),22,14,36,Panglong(ST),MMR014011
 Naturalised Scrutiny Card (green),65,50,115,Panglong(ST),MMR014011
 National Registration Card (3-fold),87,103,190,Panglong(ST),MMR014011
 Religious card,254,2,256,Panglong(ST),MMR014011
 Temporary Registration Card (white),22,15,37,Panglong(ST),MMR014011
 Foreign Registration Card (FRC),2,1,3,Panglong(ST),MMR014011
 Foreign Passport,6,1,7,Panglong(ST),MMR014011
 None,7994,8391,16385,Panglong(ST),MMR014011
 Child under 10 years,8329,7996,16325,Panglong(ST),MMR014011
 Total,35328,36858,72186,Panglong(ST),MMR014011
