Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),66613,67311,133924,Hlegu,MMR013004
 Associate Scrutiny Card (blue),47,67,114,Hlegu,MMR013004
 Naturalised Scrutiny Card (green),754,403,1157,Hlegu,MMR013004
 National Registration Card (3-fold),5506,7215,12721,Hlegu,MMR013004
 Religious card,1550,312,1862,Hlegu,MMR013004
 Temporary Registration Card (white),1165,1232,2397,Hlegu,MMR013004
 Foreign Registration Card (FRC),8,9,17,Hlegu,MMR013004
 Foreign Passport,40,28,68,Hlegu,MMR013004
 None,33165,35563,68728,Hlegu,MMR013004
 Child under 10 years,25239,24514,49753,Hlegu,MMR013004
 Total,134087,136654,270741,Hlegu,MMR013004
