Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),13530,12578,26108,Ngwehsaung(ST),MMR017001
 Associate Scrutiny Card (blue),12,11,23,Ngwehsaung(ST),MMR017001
 Naturalised Scrutiny Card (green),40,19,59,Ngwehsaung(ST),MMR017001
 National Registration Card (3-fold),77,85,162,Ngwehsaung(ST),MMR017001
 Religious card,58,3,61,Ngwehsaung(ST),MMR017001
 Temporary Registration Card (white),21,8,29,Ngwehsaung(ST),MMR017001
 Foreign Registration Card (FRC),3,8,11,Ngwehsaung(ST),MMR017001
 Foreign Passport,116,114,230,Ngwehsaung(ST),MMR017001
 None,4424,4540,8964,Ngwehsaung(ST),MMR017001
 Child under 10 years,4370,4359,8729,Ngwehsaung(ST),MMR017001
 Total,22651,21725,44376,Ngwehsaung(ST),MMR017001
