Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),53804,58153,111957,Ingapu,MMR017013
 Associate Scrutiny Card (blue),20,46,66,Ingapu,MMR017013
 Naturalised Scrutiny Card (green),115,40,155,Ingapu,MMR017013
 National Registration Card (3-fold),419,657,1076,Ingapu,MMR017013
 Religious card,709,74,783,Ingapu,MMR017013
 Temporary Registration Card (white),93,85,178,Ingapu,MMR017013
 Foreign Registration Card (FRC),1,-,1,Ingapu,MMR017013
 Foreign Passport,9,7,16,Ingapu,MMR017013
 None,28651,34706,63357,Ingapu,MMR017013
 Child under 10 years,18556,18239,36795,Ingapu,MMR017013
 Total,102377,112007,214384,Ingapu,MMR017013
