Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),15176,14969,30145,Theinni,MMR015002
 Associate Scrutiny Card (blue),8,13,21,Theinni,MMR015002
 Naturalised Scrutiny Card (green),104,52,156,Theinni,MMR015002
 National Registration Card (3-fold),1075,1158,2233,Theinni,MMR015002
 Religious card,126,24,150,Theinni,MMR015002
 Temporary Registration Card (white),391,409,800,Theinni,MMR015002
 Foreign Registration Card (FRC),3,3,6,Theinni,MMR015002
 Foreign Passport,-,2,2,Theinni,MMR015002
 None,5590,5568,11158,Theinni,MMR015002
 Child under 10 years,6131,5860,11991,Theinni,MMR015002
 Total,28604,28058,56662,Theinni,MMR015002
