Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5836,5259,11095,Hopan,MMR015021
 Associate Scrutiny Card (blue),10,15,25,Hopan,MMR015021
 Naturalised Scrutiny Card (green),50,26,76,Hopan,MMR015021
 National Registration Card (3-fold),918,940,1858,Hopan,MMR015021
 Religious card,76,10,86,Hopan,MMR015021
 Temporary Registration Card (white),272,283,555,Hopan,MMR015021
 Foreign Registration Card (FRC),8,8,16,Hopan,MMR015021
 Foreign Passport,6,6,12,Hopan,MMR015021
 None,14402,13722,28124,Hopan,MMR015021
 Child under 10 years,6691,6356,13047,Hopan,MMR015021
 Total,28269,26625,54894,Hopan,MMR015021
