Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6190,4932,11122,Minesan(Monsan)(ST),MMR014017
 Associate Scrutiny Card (blue),4,9,13,Minesan(Monsan)(ST),MMR014017
 Naturalised Scrutiny Card (green),177,34,211,Minesan(Monsan)(ST),MMR014017
 National Registration Card (3-fold),796,701,1497,Minesan(Monsan)(ST),MMR014017
 Religious card,133,13,146,Minesan(Monsan)(ST),MMR014017
 Temporary Registration Card (white),148,133,281,Minesan(Monsan)(ST),MMR014017
 Foreign Registration Card (FRC),1,-,1,Minesan(Monsan)(ST),MMR014017
 Foreign Passport,1,2,3,Minesan(Monsan)(ST),MMR014017
 None,5191,5204,10395,Minesan(Monsan)(ST),MMR014017
 Child under 10 years,3238,3150,6388,Minesan(Monsan)(ST),MMR014017
 Total,15879,14178,30057,Minesan(Monsan)(ST),MMR014017
