Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),24007,28567,52574,Yanbye,MMR012013
 Associate Scrutiny Card (blue),6,10,16,Yanbye,MMR012013
 Naturalised Scrutiny Card (green),32,15,47,Yanbye,MMR012013
 National Registration Card (3-fold),516,738,1254,Yanbye,MMR012013
 Religious card,389,11,400,Yanbye,MMR012013
 Temporary Registration Card (white),146,213,359,Yanbye,MMR012013
 Foreign Passport,9,12,21,Yanbye,MMR012013
 None,10645,14798,25443,Yanbye,MMR012013
 Child under 10 years,9016,8761,17777,Yanbye,MMR012013
 Total,44766,53125,97891,Yanbye,MMR012013
