Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),147930,65893,213823,Phakant,MMR001009
 Associate Scrutiny Card (blue),178,76,254,Phakant,MMR001009
 Naturalised Scrutiny Card (green),820,205,1025,Phakant,MMR001009
 National Registration Card (3-fold),1762,1147,2909,Phakant,MMR001009
 Religious card,487,138,625,Phakant,MMR001009
 Temporary Registration Card (white),2336,2091,4427,Phakant,MMR001009
 Foreign Registration Card (FRC),13,8,21,Phakant,MMR001009
 Foreign Passport,24,20,44,Phakant,MMR001009
 None,25364,20469,45833,Phakant,MMR001009
 Child under 10 years,22119,21198,43317,Phakant,MMR001009
 Total,201033,111245,312278,Phakant,MMR001009
