Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7305,7689,14994,Kyeintali(ST),MMR012017
 Associate Scrutiny Card (blue),1,4,5,Kyeintali(ST),MMR012017
 Naturalised Scrutiny Card (green),13,10,23,Kyeintali(ST),MMR012017
 National Registration Card (3-fold),104,135,239,Kyeintali(ST),MMR012017
 Religious card,69,6,75,Kyeintali(ST),MMR012017
 Temporary Registration Card (white),35,50,85,Kyeintali(ST),MMR012017
 Foreign Registration Card (FRC),1,1,2,Kyeintali(ST),MMR012017
 Foreign Passport,1,-,1,Kyeintali(ST),MMR012017
 None,2291,2598,4889,Kyeintali(ST),MMR012017
 Child under 10 years,1602,1666,3268,Kyeintali(ST),MMR012017
 Total,11422,12159,23581,Kyeintali(ST),MMR012017
