Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),17285,22845,40130,Mannaung,MMR017011
 Associate Scrutiny Card (blue),8,7,15,Mannaung,MMR017011
 Naturalised Scrutiny Card (green),27,14,41,Mannaung,MMR017011
 National Registration Card (3-fold),54,110,164,Mannaung,MMR017011
 Religious card,197,20,217,Mannaung,MMR017011
 Temporary Registration Card (white),59,113,172,Mannaung,MMR017011
 Foreign Passport,4,-,4,Mannaung,MMR017011
 None,3230,4878,8108,Mannaung,MMR017011
 Child under 10 years,4093,4022,8115,Mannaung,MMR017011
 Total,24957,32009,56966,Mannaung,MMR017011
