Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),51945,65427,117372,Chauk,MMR009003
 Associate Scrutiny Card (blue),45,39,84,Chauk,MMR009003
 Naturalised Scrutiny Card (green),119,100,219,Chauk,MMR009003
 National Registration Card (3-fold),346,602,948,Chauk,MMR009003
 Religious card,825,106,931,Chauk,MMR009003
 Temporary Registration Card (white),104,245,349,Chauk,MMR009003
 Foreign Registration Card (FRC),11,7,18,Chauk,MMR009003
 Foreign Passport,9,13,22,Chauk,MMR009003
 None,13404,20641,34045,Chauk,MMR009003
 Child under 10 years,15577,15624,31201,Chauk,MMR009003
 Total,82385,102804,185189,Chauk,MMR009003
