Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),63330,65453,128783,Hmawby,MMR013003
 Associate Scrutiny Card (blue),66,88,154,Hmawby,MMR013003
 Naturalised Scrutiny Card (green),428,182,610,Hmawby,MMR013003
 National Registration Card (3-fold),4559,6047,10606,Hmawby,MMR013003
 Religious card,1644,332,1976,Hmawby,MMR013003
 Temporary Registration Card (white),899,864,1763,Hmawby,MMR013003
 Foreign Registration Card (FRC),71,56,127,Hmawby,MMR013003
 Foreign Passport,162,50,212,Hmawby,MMR013003
 None,28570,29878,58448,Hmawby,MMR013003
 Child under 10 years,21202,20726,41928,Hmawby,MMR013003
 Total,120931,123676,244607,Hmawby,MMR013003
