Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),47212,49640,96852,Nattalin,MMR008012
 Associate Scrutiny Card (blue),26,31,57,Nattalin,MMR008012
 Naturalised Scrutiny Card (green),167,90,257,Nattalin,MMR008012
 National Registration Card (3-fold),537,749,1286,Nattalin,MMR008012
 Religious card,559,215,774,Nattalin,MMR008012
 Temporary Registration Card (white),158,244,402,Nattalin,MMR008012
 Foreign Registration Card (FRC),4,3,7,Nattalin,MMR008012
 Foreign Passport,12,27,39,Nattalin,MMR008012
 None,21069,26995,48064,Nattalin,MMR008012
 Child under 10 years,12339,12064,24403,Nattalin,MMR008012
 Total,82083,90058,172141,Nattalin,MMR008012
