Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),40867,43146,84013,Sinku,MMR010010
 Associate Scrutiny Card (blue),26,34,60,Sinku,MMR010010
 Naturalised Scrutiny Card (green),644,296,940,Sinku,MMR010010
 National Registration Card (3-fold),2569,2548,5117,Sinku,MMR010010
 Religious card,735,56,791,Sinku,MMR010010
 Temporary Registration Card (white),544,845,1389,Sinku,MMR010010
 Foreign Registration Card (FRC),2,1,3,Sinku,MMR010010
 Foreign Passport,11,10,21,Sinku,MMR010010
 None,16373,19201,35574,Sinku,MMR010010
 Child under 10 years,15003,14674,29677,Sinku,MMR010010
 Total,76774,80811,157585,Sinku,MMR010010
