Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),37921,43095,81016,Kyauktaw,MMR012004
 Associate Scrutiny Card (blue),11,21,32,Kyauktaw,MMR012004
 Naturalised Scrutiny Card (green),148,158,306,Kyauktaw,MMR012004
 National Registration Card (3-fold),107,158,265,Kyauktaw,MMR012004
 Religious card,542,68,610,Kyauktaw,MMR012004
 Temporary Registration Card (white),52,108,160,Kyauktaw,MMR012004
 Foreign Registration Card (FRC),-,1,1,Kyauktaw,MMR012004
 Foreign Passport,29,38,67,Kyauktaw,MMR012004
 None,21658,34225,55883,Kyauktaw,MMR012004
 Child under 10 years,17573,17187,34760,Kyauktaw,MMR012004
 Total,78041,95059,173100,Kyauktaw,MMR012004
