Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),28027,34189,62216,Pinlebu,MMR005026
 Associate Scrutiny Card (blue),10,9,19,Pinlebu,MMR005026
 Naturalised Scrutiny Card (green),75,25,100,Pinlebu,MMR005026
 National Registration Card (3-fold),86,126,212,Pinlebu,MMR005026
 Religious card,492,38,530,Pinlebu,MMR005026
 Temporary Registration Card (white),92,91,183,Pinlebu,MMR005026
 Foreign Registration Card (FRC),1,-,1,Pinlebu,MMR005026
 Foreign Passport,6,4,10,Pinlebu,MMR005026
 None,11323,13214,24537,Pinlebu,MMR005026
 Child under 10 years,12281,11879,24160,Pinlebu,MMR005026
 Total,52393,59575,111968,Pinlebu,MMR005026
