Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7165,7414,14579,Minelar,MMR016005
 Associate Scrutiny Card (blue),11,13,24,Minelar,MMR016005
 Naturalised Scrutiny Card (green),21,10,31,Minelar,MMR016005
 National Registration Card (3-fold),144,184,328,Minelar,MMR016005
 Religious card,14,2,16,Minelar,MMR016005
 Temporary Registration Card (white),272,261,533,Minelar,MMR016005
 Foreign Registration Card (FRC),376,210,586,Minelar,MMR016005
 Foreign Passport,4375,3418,7793,Minelar,MMR016005
 None,6915,6253,13168,Minelar,MMR016005
 Child under 10 years,2973,3037,6010,Minelar,MMR016005
 Total,22266,20802,43068,Minelar,MMR016005
