Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2350,1969,4319,Meisi,MMR002007
 Associate Scrutiny Card (blue),1,1,2,Meisi,MMR002007
 Naturalised Scrutiny Card (green),2,-,2,Meisi,MMR002007
 National Registration Card (3-fold),6,5,11,Meisi,MMR002007
 Religious card,22,3,25,Meisi,MMR002007
 Foreign Registration Card (FRC),2,-,2,Meisi,MMR002007
 Foreign Passport,1,2,3,Meisi,MMR002007
 None,231,227,458,Meisi,MMR002007
 Child under 10 years,787,710,1497,Meisi,MMR002007
 Total,3402,2917,6319,Meisi,MMR002007
