Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),29111,29256,58367,Phekon,MMR014010
 Associate Scrutiny Card (blue),10,17,27,Phekon,MMR014010
 Naturalised Scrutiny Card (green),29,21,50,Phekon,MMR014010
 National Registration Card (3-fold),180,311,491,Phekon,MMR014010
 Religious card,215,24,239,Phekon,MMR014010
 Temporary Registration Card (white),25,10,35,Phekon,MMR014010
 Foreign Passport,7,5,12,Phekon,MMR014010
 None,9010,8692,17702,Phekon,MMR014010
 Child under 10 years,13706,12961,26667,Phekon,MMR014010
 Total,52293,51297,103590,Phekon,MMR014010
