Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),52720,69237,121957,Tamway,MMR013015
 Associate Scrutiny Card (blue),254,325,579,Tamway,MMR013015
 Naturalised Scrutiny Card (green),638,568,1206,Tamway,MMR013015
 National Registration Card (3-fold),1994,2787,4781,Tamway,MMR013015
 Religious card,1364,19,1383,Tamway,MMR013015
 Temporary Registration Card (white),224,333,557,Tamway,MMR013015
 Foreign Registration Card (FRC),91,90,181,Tamway,MMR013015
 Foreign Passport,587,187,774,Tamway,MMR013015
 None,7871,8699,16570,Tamway,MMR013015
 Child under 10 years,8919,8406,17325,Tamway,MMR013015
 Total,74662,90651,165313,Tamway,MMR013015
