Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),18325,19350,37675,Kalewa,MMR005028
 Associate Scrutiny Card (blue),4,5,9,Kalewa,MMR005028
 Naturalised Scrutiny Card (green),24,11,35,Kalewa,MMR005028
 National Registration Card (3-fold),27,10,37,Kalewa,MMR005028
 Religious card,198,17,215,Kalewa,MMR005028
 Temporary Registration Card (white),46,46,92,Kalewa,MMR005028
 Foreign Registration Card (FRC),-,1,1,Kalewa,MMR005028
 Foreign Passport,2,2,4,Kalewa,MMR005028
 None,3675,4035,7710,Kalewa,MMR005028
 Child under 10 years,5414,5240,10654,Kalewa,MMR005028
 Total,27715,28717,56432,Kalewa,MMR005028
