Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),19449,20952,40401,Zigon,MMR008011
 Associate Scrutiny Card (blue),22,18,40,Zigon,MMR008011
 Naturalised Scrutiny Card (green),74,49,123,Zigon,MMR008011
 National Registration Card (3-fold),126,174,300,Zigon,MMR008011
 Religious card,232,17,249,Zigon,MMR008011
 Temporary Registration Card (white),55,72,127,Zigon,MMR008011
 Foreign Registration Card (FRC),6,7,13,Zigon,MMR008011
 Foreign Passport,8,6,14,Zigon,MMR008011
 None,7237,9237,16474,Zigon,MMR008011
 Child under 10 years,4958,4824,9782,Zigon,MMR008011
 Total,32167,35356,67523,Zigon,MMR008011
