Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),26568,26403,52971,Yebyu,MMR006004
 Associate Scrutiny Card (blue),64,32,96,Yebyu,MMR006004
 Naturalised Scrutiny Card (green),97,27,124,Yebyu,MMR006004
 National Registration Card (3-fold),711,1101,1812,Yebyu,MMR006004
 Religious card,304,17,321,Yebyu,MMR006004
 Temporary Registration Card (white),145,120,265,Yebyu,MMR006004
 Foreign Registration Card (FRC),6,2,8,Yebyu,MMR006004
 Foreign Passport,390,35,425,Yebyu,MMR006004
 None,11288,11599,22887,Yebyu,MMR006004
 Child under 10 years,11209,10650,21859,Yebyu,MMR006004
 Total,50782,49986,100768,Yebyu,MMR006004
