Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),56162,55731,111893,Nyaungshwe,MMR014002
 Associate Scrutiny Card (blue),62,60,122,Nyaungshwe,MMR014002
 Naturalised Scrutiny Card (green),215,129,344,Nyaungshwe,MMR014002
 National Registration Card (3-fold),1162,1704,2866,Nyaungshwe,MMR014002
 Religious card,715,46,761,Nyaungshwe,MMR014002
 Temporary Registration Card (white),115,100,215,Nyaungshwe,MMR014002
 Foreign Registration Card (FRC),31,24,55,Nyaungshwe,MMR014002
 Foreign Passport,244,277,521,Nyaungshwe,MMR014002
 None,18892,20276,39168,Nyaungshwe,MMR014002
 Child under 10 years,16939,16523,33462,Nyaungshwe,MMR014002
 Total,94537,94870,189407,Nyaungshwe,MMR014002
