Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),63402,76178,139580,Mayangon,MMR013042
 Associate Scrutiny Card (blue),175,168,343,Mayangon,MMR013042
 Naturalised Scrutiny Card (green),541,352,893,Mayangon,MMR013042
 National Registration Card (3-fold),1462,2022,3484,Mayangon,MMR013042
 Religious card,1411,732,2143,Mayangon,MMR013042
 Temporary Registration Card (white),486,615,1101,Mayangon,MMR013042
 Foreign Registration Card (FRC),190,168,358,Mayangon,MMR013042
 Foreign Passport,841,433,1274,Mayangon,MMR013042
 None,13237,13043,26280,Mayangon,MMR013042
 Child under 10 years,11647,11010,22657,Mayangon,MMR013042
 Total,93392,104721,198113,Mayangon,MMR013042
