Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),34835,36413,71248,Kyauktan,MMR013024
 Associate Scrutiny Card (blue),65,82,147,Kyauktan,MMR013024
 Naturalised Scrutiny Card (green),1739,1765,3504,Kyauktan,MMR013024
 National Registration Card (3-fold),564,750,1314,Kyauktan,MMR013024
 Religious card,462,228,690,Kyauktan,MMR013024
 Temporary Registration Card (white),112,121,233,Kyauktan,MMR013024
 Foreign Registration Card (FRC),8,13,21,Kyauktan,MMR013024
 Foreign Passport,75,13,88,Kyauktan,MMR013024
 None,15721,18471,34192,Kyauktan,MMR013024
 Child under 10 years,10797,10531,21328,Kyauktan,MMR013024
 Total,64378,68387,132765,Kyauktan,MMR013024
