Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),19168,20576,39744,Tamu,MMR005030
 Associate Scrutiny Card (blue),7,9,16,Tamu,MMR005030
 Naturalised Scrutiny Card (green),19,11,30,Tamu,MMR005030
 National Registration Card (3-fold),18,26,44,Tamu,MMR005030
 Religious card,161,30,191,Tamu,MMR005030
 Temporary Registration Card (white),28,28,56,Tamu,MMR005030
 Foreign Registration Card (FRC),1,-,1,Tamu,MMR005030
 Foreign Passport,18,1,19,Tamu,MMR005030
 None,3337,3105,6442,Tamu,MMR005030
 Child under 10 years,6482,6318,12800,Tamu,MMR005030
 Total,29239,30104,59343,Tamu,MMR005030
