Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2745,2754,5499,Cikha(ST),MMR004005
 Associate Scrutiny Card (blue),-,4,4,Cikha(ST),MMR004005
 Naturalised Scrutiny Card (green),1,-,1,Cikha(ST),MMR004005
 National Registration Card (3-fold),17,15,32,Cikha(ST),MMR004005
 Religious card,1,-,1,Cikha(ST),MMR004005
 Temporary Registration Card (white),15,19,34,Cikha(ST),MMR004005
 Foreign Registration Card (FRC),5,1,6,Cikha(ST),MMR004005
 None,1208,1230,2438,Cikha(ST),MMR004005
 Child under 10 years,1593,1548,3141,Cikha(ST),MMR004005
 Total,5585,5571,11156,Cikha(ST),MMR004005
