Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),92731,103887,196618,Kalay,MMR014005
 Associate Scrutiny Card (blue),38,52,90,Kalay,MMR014005
 Naturalised Scrutiny Card (green),122,65,187,Kalay,MMR014005
 National Registration Card (3-fold),338,412,750,Kalay,MMR014005
 Religious card,687,99,786,Kalay,MMR014005
 Temporary Registration Card (white),162,125,287,Kalay,MMR014005
 Foreign Registration Card (FRC),5,2,7,Kalay,MMR014005
 Foreign Passport,52,66,118,Kalay,MMR014005
 None,38573,41685,80258,Kalay,MMR014005
 Child under 10 years,34850,34622,69472,Kalay,MMR014005
 Total,167558,181015,348573,Kalay,MMR014005
