Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),29720,41682,71402,Ye U,MMR005009
 Associate Scrutiny Card (blue),18,15,33,Ye U,MMR005009
 Naturalised Scrutiny Card (green),90,51,141,Ye U,MMR005009
 National Registration Card (3-fold),293,705,998,Ye U,MMR005009
 Religious card,568,59,627,Ye U,MMR005009
 Temporary Registration Card (white),44,96,140,Ye U,MMR005009
 Foreign Registration Card (FRC),3,2,5,Ye U,MMR005009
 Foreign Passport,19,10,29,Ye U,MMR005009
 None,10020,13983,24003,Ye U,MMR005009
 Child under 10 years,10647,10265,20912,Ye U,MMR005009
 Total,51422,66868,118290,Ye U,MMR005009
