Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),30300,30489,60789,Tanatpin,MMR007002
 Associate Scrutiny Card (blue),39,54,93,Tanatpin,MMR007002
 Naturalised Scrutiny Card (green),745,866,1611,Tanatpin,MMR007002
 National Registration Card (3-fold),228,344,572,Tanatpin,MMR007002
 Religious card,493,14,507,Tanatpin,MMR007002
 Temporary Registration Card (white),96,133,229,Tanatpin,MMR007002
 Foreign Registration Card (FRC),6,11,17,Tanatpin,MMR007002
 Foreign Passport,20,18,38,Tanatpin,MMR007002
 None,20578,27717,48295,Tanatpin,MMR007002
 Child under 10 years,16631,16505,33136,Tanatpin,MMR007002
 Total,69136,76151,145287,Tanatpin,MMR007002
