Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),43060,47548,90608,Ayartaw,MMR005014
 Associate Scrutiny Card (blue),15,19,34,Ayartaw,MMR005014
 Naturalised Scrutiny Card (green),84,82,166,Ayartaw,MMR005014
 National Registration Card (3-fold),635,1131,1766,Ayartaw,MMR005014
 Religious card,676,24,700,Ayartaw,MMR005014
 Temporary Registration Card (white),35,30,65,Ayartaw,MMR005014
 Foreign Registration Card (FRC),1,-,1,Ayartaw,MMR005014
 Foreign Passport,12,28,40,Ayartaw,MMR005014
 None,13431,23507,36938,Ayartaw,MMR005014
 Child under 10 years,12785,12666,25451,Ayartaw,MMR005014
 Total,70734,85035,155769,Ayartaw,MMR005014
