Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),24080,26741,50821,Kamma,MMR009015
 Associate Scrutiny Card (blue),10,7,17,Kamma,MMR009015
 Naturalised Scrutiny Card (green),40,32,72,Kamma,MMR009015
 National Registration Card (3-fold),71,103,174,Kamma,MMR009015
 Religious card,243,10,253,Kamma,MMR009015
 Temporary Registration Card (white),16,25,41,Kamma,MMR009015
 Foreign Registration Card (FRC),1,1,2,Kamma,MMR009015
 Foreign Passport,2,4,6,Kamma,MMR009015
 None,5913,7089,13002,Kamma,MMR009015
 Child under 10 years,5478,5329,10807,Kamma,MMR009015
 Total,35854,39341,75195,Kamma,MMR009015
