Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4114,3673,7787,Kenglat(ST),MMR016009
 Associate Scrutiny Card (blue),-,2,2,Kenglat(ST),MMR016009
 Naturalised Scrutiny Card (green),7,2,9,Kenglat(ST),MMR016009
 National Registration Card (3-fold),34,40,74,Kenglat(ST),MMR016009
 Religious card,10,-,10,Kenglat(ST),MMR016009
 Temporary Registration Card (white),14,6,20,Kenglat(ST),MMR016009
 Foreign Registration Card (FRC),2,-,2,Kenglat(ST),MMR016009
 None,436,382,818,Kenglat(ST),MMR016009
 Child under 10 years,1177,1145,2322,Kenglat(ST),MMR016009
 Total,5794,5250,11044,Kenglat(ST),MMR016009
