Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),33062,28349,61411,Thabeikkyin,MMR010012
 Associate Scrutiny Card (blue),28,15,43,Thabeikkyin,MMR010012
 Naturalised Scrutiny Card (green),299,98,397,Thabeikkyin,MMR010012
 National Registration Card (3-fold),1389,1504,2893,Thabeikkyin,MMR010012
 Religious card,259,19,278,Thabeikkyin,MMR010012
 Temporary Registration Card (white),342,242,584,Thabeikkyin,MMR010012
 Foreign Registration Card (FRC),5,-,5,Thabeikkyin,MMR010012
 Foreign Passport,21,6,27,Thabeikkyin,MMR010012
 None,16269,18264,34533,Thabeikkyin,MMR010012
 Child under 10 years,13945,13716,27661,Thabeikkyin,MMR010012
 Total,65619,62213,127832,Thabeikkyin,MMR010012
