Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),18090,15699,33789,Dekkhinathiri,MMR018004
 Associate Scrutiny Card (blue),18,20,38,Dekkhinathiri,MMR018004
 Naturalised Scrutiny Card (green),89,21,110,Dekkhinathiri,MMR018004
 National Registration Card (3-fold),234,288,522,Dekkhinathiri,MMR018004
 Religious card,238,16,254,Dekkhinathiri,MMR018004
 Temporary Registration Card (white),186,190,376,Dekkhinathiri,MMR018004
 Foreign Registration Card (FRC),7,-,7,Dekkhinathiri,MMR018004
 Foreign Passport,4,2,6,Dekkhinathiri,MMR018004
 None,3701,3778,7479,Dekkhinathiri,MMR018004
 Child under 10 years,4483,4264,8747,Dekkhinathiri,MMR018004
 Total,27050,24278,51328,Dekkhinathiri,MMR018004
 Citizenship Scrutiny Card (pink),13588003,14809516,28397519,Dekkhinathiri,MMR018004
 Associate Scrutiny Card (blue),18177,19252,37429,Dekkhinathiri,MMR018004
 Naturalised Scrutiny Card (green),95066,75286,170352,Dekkhinathiri,MMR018004
 National Registration Card (3-fold),297671,394617,692288,Dekkhinathiri,MMR018004
 Religious card,216887,30878,247765,Dekkhinathiri,MMR018004
 Temporary Registration Card (white),84467,97515,181982,Dekkhinathiri,MMR018004
 Foreign Registration Card (FRC),8079,6864,14943,Dekkhinathiri,MMR018004
 Foreign Passport,24258,14388,38646,Dekkhinathiri,MMR018004
 None,5194951,6012818,11207769,Dekkhinathiri,MMR018004
 Child under 10 years,4701155,4590052,9291207,Dekkhinathiri,MMR018004
 Total,24228714,26051186,50279900,Dekkhinathiri,MMR018004
