Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6748,5686,12434,Kholan(ST),MMR014013
 Associate Scrutiny Card (blue),6,6,12,Kholan(ST),MMR014013
 Naturalised Scrutiny Card (green),34,12,46,Kholan(ST),MMR014013
 National Registration Card (3-fold),73,64,137,Kholan(ST),MMR014013
 Religious card,69,-,69,Kholan(ST),MMR014013
 Temporary Registration Card (white),42,28,70,Kholan(ST),MMR014013
 Foreign Passport,2,2,4,Kholan(ST),MMR014013
 None,3090,3437,6527,Kholan(ST),MMR014013
 Child under 10 years,2685,2675,5360,Kholan(ST),MMR014013
 Total,12749,11910,24659,Kholan(ST),MMR014013
