Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2767,2824,5591,Machanbaw,MMR001016
 Associate Scrutiny Card (blue),-,2,2,Machanbaw,MMR001016
 Naturalised Scrutiny Card (green),3,2,5,Machanbaw,MMR001016
 National Registration Card (3-fold),4,3,7,Machanbaw,MMR001016
 Religious card,9,-,9,Machanbaw,MMR001016
 Temporary Registration Card (white),5,2,7,Machanbaw,MMR001016
 Foreign Registration Card (FRC),1,-,1,Machanbaw,MMR001016
 Foreign Passport,2,1,3,Machanbaw,MMR001016
 None,424,382,806,Machanbaw,MMR001016
 Child under 10 years,1240,1187,2427,Machanbaw,MMR001016
 Total,4455,4403,8858,Machanbaw,MMR001016
