Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),36065,43467,79532,Indaw,MMR005021
 Associate Scrutiny Card (blue),25,17,42,Indaw,MMR005021
 Naturalised Scrutiny Card (green),79,48,127,Indaw,MMR005021
 National Registration Card (3-fold),101,168,269,Indaw,MMR005021
 Religious card,403,80,483,Indaw,MMR005021
 Temporary Registration Card (white),75,65,140,Indaw,MMR005021
 Foreign Registration Card (FRC),1,2,3,Indaw,MMR005021
 Foreign Passport,1,12,13,Indaw,MMR005021
 None,7247,7125,14372,Indaw,MMR005021
 Child under 10 years,12817,12468,25285,Indaw,MMR005021
 Total,56814,63452,120266,Indaw,MMR005021
