Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9057,6936,15993,Parsaung,MMR002006
 Associate Scrutiny Card (blue),4,4,8,Parsaung,MMR002006
 Naturalised Scrutiny Card (green),28,21,49,Parsaung,MMR002006
 National Registration Card (3-fold),165,195,360,Parsaung,MMR002006
 Religious card,19,-,19,Parsaung,MMR002006
 Temporary Registration Card (white),11,9,20,Parsaung,MMR002006
 Foreign Registration Card (FRC),3,7,10,Parsaung,MMR002006
 Foreign Passport,10,3,13,Parsaung,MMR002006
 None,1687,1657,3344,Parsaung,MMR002006
 Child under 10 years,2922,2856,5778,Parsaung,MMR002006
 Total,13906,11688,25594,Parsaung,MMR002006
