Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),12298,11785,24083,Indaw(ST),MMR014008
 Associate Scrutiny Card (blue),6,5,11,Indaw(ST),MMR014008
 Naturalised Scrutiny Card (green),26,11,37,Indaw(ST),MMR014008
 National Registration Card (3-fold),53,59,112,Indaw(ST),MMR014008
 Religious card,99,3,102,Indaw(ST),MMR014008
 Temporary Registration Card (white),12,2,14,Indaw(ST),MMR014008
 Foreign Passport,1,-,1,Indaw(ST),MMR014008
 None,2821,2739,5560,Indaw(ST),MMR014008
 Child under 10 years,4049,4194,8243,Indaw(ST),MMR014008
 Total,19365,18798,38163,Indaw(ST),MMR014008
