Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),38694,39587,78281,Tharyarwaddy,MMR008007
 Associate Scrutiny Card (blue),60,63,123,Tharyarwaddy,MMR008007
 Naturalised Scrutiny Card (green),310,292,602,Tharyarwaddy,MMR008007
 National Registration Card (3-fold),597,895,1492,Tharyarwaddy,MMR008007
 Religious card,505,41,546,Tharyarwaddy,MMR008007
 Temporary Registration Card (white),71,159,230,Tharyarwaddy,MMR008007
 Foreign Registration Card (FRC),22,39,61,Tharyarwaddy,MMR008007
 Foreign Passport,10,9,19,Tharyarwaddy,MMR008007
 None,18517,23396,41913,Tharyarwaddy,MMR008007
 Child under 10 years,13986,13851,27837,Tharyarwaddy,MMR008007
 Total,72772,78332,151104,Tharyarwaddy,MMR008007
