Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),41402,40358,81760,Thapaung,MMR017003
 Associate Scrutiny Card (blue),29,24,53,Thapaung,MMR017003
 Naturalised Scrutiny Card (green),82,53,135,Thapaung,MMR017003
 National Registration Card (3-fold),344,505,849,Thapaung,MMR017003
 Religious card,357,21,378,Thapaung,MMR017003
 Temporary Registration Card (white),60,55,115,Thapaung,MMR017003
 Foreign Registration Card (FRC),2,6,8,Thapaung,MMR017003
 Foreign Passport,42,16,58,Thapaung,MMR017003
 None,17453,22090,39543,Thapaung,MMR017003
 Child under 10 years,15892,15609,31501,Thapaung,MMR017003
 Total,75663,78737,154400,Thapaung,MMR017003
