Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4934,3696,8630,Pan San(Pan Kham),MMR015005
 Associate Scrutiny Card (blue),250,243,493,Pan San(Pan Kham),MMR015005
 Naturalised Scrutiny Card (green),74,28,102,Pan San(Pan Kham),MMR015005
 National Registration Card (3-fold),225,171,396,Pan San(Pan Kham),MMR015005
 Religious card,179,24,203,Pan San(Pan Kham),MMR015005
 Temporary Registration Card (white),310,266,576,Pan San(Pan Kham),MMR015005
 Foreign Registration Card (FRC),541,278,819,Pan San(Pan Kham),MMR015005
 Foreign Passport,154,52,206,Pan San(Pan Kham),MMR015005
 None,35087,33254,68341,Pan San(Pan Kham),MMR015005
 Child under 10 years,12447,12116,24563,Pan San(Pan Kham),MMR015005
 Total,54201,50128,104329,Pan San(Pan Kham),MMR015005
