Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9534,9020,18554,Mineye`,MMR015003
 Associate Scrutiny Card (blue),17,17,34,Mineye`,MMR015003
 Naturalised Scrutiny Card (green),126,65,191,Mineye`,MMR015003
 National Registration Card (3-fold),1204,1468,2672,Mineye`,MMR015003
 Religious card,144,4,148,Mineye`,MMR015003
 Temporary Registration Card (white),55,81,136,Mineye`,MMR015003
 Foreign Registration Card (FRC),2,1,3,Mineye`,MMR015003
 Foreign Passport,-,5,5,Mineye`,MMR015003
 None,11206,13993,25199,Mineye`,MMR015003
 Child under 10 years,6103,6331,12434,Mineye`,MMR015003
 Total,28391,30985,59376,Mineye`,MMR015003
