Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),42218,49580,91798,Palae,MMR005019
 Associate Scrutiny Card (blue),8,12,20,Palae,MMR005019
 Naturalised Scrutiny Card (green),64,47,111,Palae,MMR005019
 National Registration Card (3-fold),235,334,569,Palae,MMR005019
 Religious card,549,16,565,Palae,MMR005019
 Temporary Registration Card (white),19,27,46,Palae,MMR005019
 Foreign Registration Card (FRC),-,1,1,Palae,MMR005019
 Foreign Passport,5,8,13,Palae,MMR005019
 None,10567,14284,24851,Palae,MMR005019
 Child under 10 years,13144,12888,26032,Palae,MMR005019
 Total,66809,77197,144006,Palae,MMR005019
