Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1445,1534,2979,Monekoe(ST),MMR015009
 Associate Scrutiny Card (blue),9,5,14,Monekoe(ST),MMR015009
 Naturalised Scrutiny Card (green),506,413,919,Monekoe(ST),MMR015009
 National Registration Card (3-fold),1973,1709,3682,Monekoe(ST),MMR015009
 Religious card,14,21,35,Monekoe(ST),MMR015009
 Temporary Registration Card (white),1613,1551,3164,Monekoe(ST),MMR015009
 Foreign Registration Card (FRC),21,11,32,Monekoe(ST),MMR015009
 Foreign Passport,11,7,18,Monekoe(ST),MMR015009
 None,4303,3920,8223,Monekoe(ST),MMR015009
 Child under 10 years,2850,2649,5499,Monekoe(ST),MMR015009
 Total,12745,11820,24565,Monekoe(ST),MMR015009
