Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),43311,46229,89540,Myauk U,MMR012003
 Associate Scrutiny Card (blue),17,24,41,Myauk U,MMR012003
 Naturalised Scrutiny Card (green),32,14,46,Myauk U,MMR012003
 National Registration Card (3-fold),139,191,330,Myauk U,MMR012003
 Religious card,740,98,838,Myauk U,MMR012003
 Temporary Registration Card (white),134,182,316,Myauk U,MMR012003
 Foreign Registration Card (FRC),1,1,2,Myauk U,MMR012003
 Foreign Passport,32,37,69,Myauk U,MMR012003
 None,23919,36698,60617,Myauk U,MMR012003
 Child under 10 years,19349,18482,37831,Myauk U,MMR012003
 Total,87674,101956,189630,Myauk U,MMR012003
